English;French;Italian;German;Portuguese;Spanish;Russian;Japanese;Mandarin
Zero;Zero;Zero;Null;Zero;Cero;Nol;Zero;Ling
One;Un;Uno;Eins;Um;Uno;Odin;Ichi;Yi
Two;Deux;Due;Zwei;Dois;Dos;Dva;Ni;Er
Three;Trois;Tre;Drei;Tres;Tres;Tri;San;San
Four;Quatre;Quattro;Vier;Quatro;Cuatro;Chetyre;Shi;Si
Five;Cinq;Cinque;Funf;Cinco;Cinco;Pyat;Go;Wu
Six;Six;Sei;Sechs;Seis;Seis;Shest;Roku;Liu
Seven;Sept;Sette;Sieben;Sete;Siete;Sem;Shichi;Qi
Eight;Huit;Otto;Acht;Oito;Ocho;Vosem;Hachi;Ba
Nine;Neuf;Nove;Neun;Nove;Nueve;Devyat;Kyu;Jiu
Ten;Dix;Dieci;Zehn;Dez;Diez;Desyat;Juu;Shi
Eleven;Onze;Undici;Elf;Onze;Once;Odinadtsat;Juuichi;Shiyi
Twelve;Douze;Dodici;Zwolf;Doze;Doce;Dvenadtsat;Juuni;Shier
Thirteen;Treize;Tredici;Dreizehn;Treze;Trece;Trinadtsat;Juusan;Shisan
Fourteen;Quatorze;Quattordici;Vierzehn;Catorze;Catorce;Chetyrnadtsat;Juushi;Shisi
Fifteen;Quinze;Quindici;Funfzehn;Quinze;Quince;Pyatnadtsat;Juugo;Shiwu
Sixteen;Seize;Sedici;Sechzehn;Dezesseis;Dieciseis;Shestnadtsat;Juuroku;Shiliu
Seventeen;Dix sept;Diciassette;Siebzehn;Dezessete;Diecisiete;Semnadtsat;Juushichi;Shiqi
Eighteen;Dix huit;Diciotto;Achtzehn;Dezoito;Dieciocho;Vosemnadtsat;Juuhachi;Shiba
Nineteen;Dix neuf;Diciannove;Neunzehn;Dezenove;Diecinueve;Devyatnadtsat;Juukyuu;Shijiu
Twenty;Vingt;Venti;Zwanzig;Vinte;Veinte;Dvadtsat;Nijuu;ershi
Twenty one;Vingt etun;Ventuno;Einundzwanzig;Vinte eum;Veintiuno;Dvadtsat odin;Nijuuichi;ershiyi
Twenty two;Vingt deux;Ventidue;Zweiundzwanzig;Vinte e dois;Veintidós;Dvadtsat dva;Nijuuni;ershier
Twenty three;Vingt trois;Ventitre;Dreiundzwanzig;Vinte e tres;Veintitres;Dvadtsat tri;Nijuusan;ershisan
Twenty four;Vingt quatre;Ventiquattro;Vierundzwanzig;Vinte e quatro;Veinticuatro;Dvadtsat chetyre;Nijuushi;ershisi
Twenty five;Vingt cinq;Venticinque;Funfundzwanzig;Vinte e cinco;Veinticinco;Dvadtsat pyat;Nijuugo;ershiwu
Twenty six;Vingt six;Ventisei;Sechsundzwanzig;Vinte e seis;Veintiseis;Dvadtsat shest;Nijuuroku;ershiliu
Twenty seven;Vingt sept;Ventisette;Siebenundzwanzig;Vinte e sete;Veintisiete;Dvadtsat sem;Nijuushichi;ershiqi
Twenty eight;Vingt huit;Ventotto;Achtundzwanzig;Vinte e oito;Veintiocho;Dvadtsat vosem;Nijuuhachi;ershiba
Twenty nine;Vingt neuf;Ventinove;Neunundzwanzig;Vinte e nove;Veintinueve;Dvadtsat devyat;Nijuukyuu;ershijiu
Thirty;Trente;Trenta;Dreissig;Trinta;Treinta;Tridtsat;Sanjuu;Sanshi
Thirty one;Trente etun;Trentuno;Einunddreissig;Trinta eum;Treinta yuno;Tridtsat odin;Sanjuuichi;Sanshiyi
Thirty two;Trente deux;Trentadue;Zweiunddreissig;Trinta e dois;Treinta y dos;Tridtsat dva;Sanjuuni;Sanshier
Thirty three;Trente trois;Trentatre;Dreiunddreissig;Trinta e tres;Treinta y tres;Tridtsat tri;Sanjuusan;Sanshisan
Thirty four;Trente quatre;Trentaquattro;Vierunddreissig;Trinta e quatro;Treinta y cuatro;Tridtsat chetyre;Sanjuushi;Sanshisi
Thirty five;Trente cinq;Trentacinque;Funfunddreissig;Trinta e cinco;Treinta y cinco;Tridtsat pyat;Sanjuugo;Sanshiwu
Thirty six;Trente six;Trentasei;Sechsunddreissig;Trinta e seis;Treinta y seis;Tridtsat shest;Sanjuuroku;Sanshiliu
Thirty seven;Trente sept;Trentasette;Siebenunddreissig;Trinta e sete;Treinta y siete;Tridtsat sem;Sanjuushichi;Sanshiqi
Thirty eight;Trente huit;Trentotto;Achtunddreissig;Trinta e oito;Treinta y ocho;Tridtsat vosem;Sanjuuhachi;Sanshiba
Thirty nine;Trente neuf;Trentanove;Neununddreissig;Trinta e nove;Treinta y nueve;Tridtsat devyat;Sanjuukyuu;Sanshijiu
Forty;Quarante;Quaranta;Vierzig;Quarenta;Cuarenta;Sorok;Yonjuu;Sishi
Forty one;Quarante etun;Quarantuno;Einundvierzig;Quarenta eum;Cuarenta yuno;Sorok odin;Yonjuuichi;Sishiyi
Forty two;Quarante deux;Quarantadue;Zweiundvierzig;Quarenta e dois;Cuarenta y dos;Sorok dva;Yonjuuni;Sishier
